image_id,crop_type,disease_name,status,file_size_kb,width,height,brightness,blurriness_score
IMG_0107,Potato,Healthy,Healthy,898.89,256,256,85.78,37.14
IMG_0108,Peach,Bacterial_Spot,Diseased,1395.71,256,256,131.58,64.46
IMG_0109,Cherry,Powdery_Mildew,Diseased,1180.36,1024,1024,126.4,79.31
IMG_0110,Peach,Bacterial_Spot,Diseased,1434.19,256,256,131.23,100.57
IMG_0111,Apple,Rust,Diseased,1916.0,256,256,124.32,82.48
IMG_0112,Grape,Black_Rot,Diseased,1099.75,256,256,124.43,123.86
IMG_0113,Potato,Late_Blight,Diseased,1874.27,256,256,95.29,11.0
IMG_0114,Pepper,Bell_Bacterial_Spot,Diseased,2008.62,512,512,120.34,15.24
IMG_0115,Peach,Healthy,Healthy,1999.92,1024,1024,113.17,29.58
IMG_0116,Potato,Healthy,Healthy,1668.13,256,256,155.46,114.55
IMG_0117,Potato,Early_Blight,Diseased,1590.9,256,256,120.81,98.79
IMG_0118,Corn,Healthy,Healthy,1799.19,512,512,143.16,193.55
IMG_0119,Peach,Bacterial_Spot,Diseased,1484.95,512,512,124.42,25.65
IMG_0120,,Healthy,Healthy,1941.32,256,256,91.73,218.03
IMG_0121,Potato,Healthy,Healthy,1880.07,256,256,13.11,35.98
IMG_0122,Pepper,Healthy,Healthy,1715.83,512,512,78.73,25.5
IMG_0123,Peach,Healthy,Healthy,2166.19,256,256,132.9,46.59
IMG_0124,Potato,Early_Blight,Diseased,1905.75,512,512,112.92,34.66
IMG_0125,Peach,Bacterial_Spot,Diseased,,256,256,127.27,148.1
IMG_0126,Corn,Healthy,Healthy,1146.49,256,256,89.29,12.64
IMG_0127,Potato,Late_Blight,Diseased,1359.13,256,256,135.35,38.53
IMG_0128,Cherry,Powdery_Mildew,Diseased,1597.01,512,512,148.1,54.61
IMG_0129,Apple,Black_Rot,Diseased,,256,256,160.52,63.76
IMG_0130,Pepper,Healthy,Healthy,1409.5,512,512,110.43,229.78
IMG_0131,Cherry,Powdery_Mildew,Diseased,1608.63,1024,1024,118.87,139.11
IMG_0132,Potato,Healthy,Healthy,989.3,1024,1024,,29.22
IMG_0133,Cherry,Powdery_Mildew,Diseased,990.37,256,256,153.48,39.08
IMG_0134,Cherry,Healthy,Healthy,2065.62,256,256,141.23,76.94
IMG_0135,Tomato,Late_Blight,Diseased,960.21,256,256,107.01,47.64
IMG_0136,Apple,Healthy,Healthy,1734.2,1024,1024,137.82,42.68
IMG_0137,Strawberry,Healthy,Healthy,1321.8,256,256,108.88,31.9
IMG_0138,Potato,Early_Blight,Diseased,2081.35,256,256,75.99,37.91
IMG_0139,Tomato,Late_Blight,Diseased,1071.77,1024,1024,103.22,115.65
IMG_0140,Peach,Bacterial_Spot,Diseased,1773.05,1024,1024,156.59,35.67
IMG_0141,Pepper,Bell_Bacterial_Spot,Diseased,1448.72,256,256,170.9,59.68
IMG_0142,Cherry,Powdery_Mildew,Diseased,1299.54,256,256,127.14,46.21
IMG_0143,Potato,Early_Blight,Diseased,2394.27,512,512,141.03,40.57
IMG_0144,Peach,Bacterial_Spot,Diseased,1233.62,256,256,93.2,11.8
IMG_0145,Peach,Bacterial_Spot,Diseased,1159.78,256,256,103.98,44.25
IMG_0146,Pepper,Bell_Bacterial_Spot,Diseased,1541.89,256,256,103.64,44.17
IMG_0147,Apple,Rust,Diseased,2246.0,256,256,156.74,111.31
IMG_0148,Tomato,Healthy,Healthy,1828.19,512,512,160.75,66.99
IMG_0149,Pepper,Healthy,Healthy,1433.15,256,256,112.03,99.23
IMG_0150,Cherry,Healthy,Healthy,1558.69,256,256,167.38,25.04
IMG_0151,Peach,Bacterial_Spot,Diseased,1376.89,512,512,159.41,6.01
IMG_0152,Corn,Common_Rust,Diseased,1587.66,512,512,138.06,19.1
IMG_0153,Pepper,Bell_Bacterial_Spot,Diseased,776.02,256,256,141.09,183.49
IMG_0154,Grape,Black_Rot,Diseased,1886.01,256,256,92.23,29.55
IMG_0155,Apple,Healthy,Healthy,1277.92,256,256,137.54,18.93
IMG_0156,Cherry,Powdery_Mildew,Diseased,2252.46,256,256,84.0,63.14
IMG_0157,Apple,Black_Rot,Diseased,1672.34,512,512,161.64,28.69
IMG_0158,Pepper,Bell_Bacterial_Spot,Diseased,1597.32,512,512,143.6,51.36
IMG_0159,Peach,Healthy,Healthy,1607.87,512,512,164.57,59.2
IMG_0160,Corn,Healthy,Healthy,1407.98,1024,1024,151.39,16.24
IMG_0161,Tomato,Early_Blight,Diseased,1229.44,256,256,91.91,25.67
IMG_0162,Peach,Healthy,Healthy,2220.38,256,256,80.09,34.92
IMG_0163,Pepper,Healthy,Healthy,1986.06,1024,1024,160.55,17.89
IMG_0164,Strawberry,Healthy,Healthy,1796.83,256,256,135.97,51.01
IMG_0165,Potato,Late_Blight,Diseased,1149.47,256,256,72.86,17.12
IMG_0166,Cherry,Healthy,Healthy,1515.06,256,256,109.09,15.52
IMG_0167,Apple,Healthy,Healthy,1523.85,512,512,159.0,30.73
IMG_0168,Cherry,Powdery_Mildew,Diseased,1241.23,512,512,149.92,61.58
IMG_0169,Strawberry,Healthy,Healthy,1352.19,256,256,93.31,22.37
IMG_0170,Cherry,Healthy,Healthy,1581.82,256,256,136.2,44.48
IMG_0171,Potato,Early_Blight,Diseased,1126.71,1024,1024,150.62,67.01
IMG_0172,Pepper,Bell_Bacterial_Spot,Diseased,1801.33,256,256,118.61,36.88
IMG_0173,Peach,Healthy,Healthy,2053.78,512,512,128.13,54.34
IMG_0174,Corn,Healthy,Healthy,1802.98,256,256,168.57,26.21
IMG_0175,Apple,Rust,Diseased,2090.62,512,512,131.74,19.9
IMG_0176,Potato,Healthy,Healthy,2052.04,256,256,97.87,35.96
IMG_0177,Peach,Bacterial_Spot,Diseased,1959.51,256,256,153.01,63.46
IMG_0178,Tomato,Late_Blight,Diseased,804.11,256,256,142.7,30.09
IMG_0179,Strawberry,Leaf_Scorch,Diseased,2375.9,1024,1024,102.59,56.51
IMG_0180,Corn,Healthy,Healthy,996.03,256,256,162.23,111.35
IMG_0181,Grape,Healthy,Healthy,1005.06,256,256,79.26,68.27
IMG_0182,Grape,Black_Rot,Diseased,1751.7,256,256,92.64,190.78
IMG_0183,Cherry,Powdery_Mildew,Diseased,1559.21,256,256,92.55,17.75
IMG_0184,Potato,Early_Blight,Diseased,830.28,512,512,90.45,18.49
IMG_0185,Pepper,Bell_Bacterial_Spot,Diseased,1458.86,256,256,168.51,16.0
IMG_0186,Strawberry,Healthy,Healthy,1489.28,1024,1024,166.11,64.98
IMG_0187,Strawberry,Healthy,Healthy,1103.99,256,256,151.54,79.8
IMG_0188,Corn,Common_Rust,Diseased,1324.0,256,256,124.08,139.97
IMG_0189,Apple,Rust,Diseased,1815.96,256,256,125.79,59.74
IMG_0190,Cherry,Powdery_Mildew,Diseased,1343.43,256,256,112.92,33.36
IMG_0191,Pepper,Healthy,Healthy,1024.61,256,256,135.11,161.29
IMG_0192,Potato,Early_Blight,Diseased,1624.83,1024,1024,102.41,47.39
IMG_0193,Grape,Black_Rot,Diseased,1908.98,512,512,138.5,38.18
IMG_0194,Corn,Healthy,Healthy,625.72,1024,1024,117.52,42.62
IMG_0195,Apple,Rust,Diseased,1656.16,256,256,164.26,53.49
IMG_0196,Grape,Healthy,Healthy,1055.98,512,512,104.28,19.99
IMG_0197,Cherry,Powdery_Mildew,Diseased,1267.51,512,512,143.16,14.55
IMG_0198,Pepper,Bell_Bacterial_Spot,Diseased,1141.8,256,256,89.67,60.8
IMG_0199,Corn,Healthy,Healthy,2030.11,256,256,106.28,83.47
IMG_0200,Tomato,Early_Blight,Diseased,1668.81,256,256,138.87,65.65
IMG_0201,Strawberry,Healthy,Healthy,5091.59,256,256,95.4,42.02
IMG_0202,Corn,Common_Rust,Diseased,1672.88,256,256,92.89,60.8
IMG_0203,Strawberry,Healthy,Healthy,1281.16,256,256,125.31,39.23
IMG_0204,Cherry,Powdery_Mildew,Diseased,1565.43,256,256,110.23,74.43
IMG_0205,Cherry,Powdery_Mildew,Diseased,1059.69,256,256,103.76,90.56
IMG_0206,Corn,Healthy,Healthy,1215.48,512,512,130.64,30.25
IMG_0207,Pepper,Healthy,Healthy,2169.03,256,256,117.86,19.64
IMG_0208,Strawberry,Leaf_Scorch,Diseased,1667.61,256,256,108.21,31.35
IMG_0209,Peach,Healthy,Healthy,565.77,256,256,109.24,83.18
IMG_0210,Tomato,Late_Blight,Diseased,1300.28,256,256,93.71,110.01
IMG_0211,Corn,Healthy,Healthy,1004.73,256,256,86.81,33.98
IMG_0212,Potato,Healthy,Healthy,1509.94,256,256,146.9,152.7
IMG_0213,Potato,Healthy,Healthy,,256,256,118.75,35.31
IMG_0214,Pepper,Healthy,Healthy,1287.8,256,256,136.49,17.62
IMG_0215,Cherry,Healthy,Healthy,1281.5,256,256,95.65,52.55
IMG_0216,Strawberry,Healthy,Healthy,1892.43,256,256,170.63,56.6
IMG_0217,Pepper,Healthy,Healthy,1504.14,256,256,95.19,11.31
IMG_0218,Strawberry,Leaf_Scorch,Diseased,975.27,1024,1024,161.09,28.68
IMG_0219,Grape,Healthy,Healthy,1790.31,256,256,111.84,34.43
IMG_0220,Corn,Common_Rust,Diseased,1316.42,256,256,115.27,58.31
IMG_0221,Strawberry,Leaf_Scorch,Diseased,1274.54,256,256,88.78,13.22
IMG_0222,Grape,Healthy,Healthy,1335.63,1024,1024,143.03,58.89
IMG_0223,Pepper,Bell_Bacterial_Spot,Diseased,1850.83,256,256,119.65,42.85
IMG_0224,Cherry,Powdery_Mildew,Diseased,1769.43,256,256,118.71,37.11
IMG_0225,Pepper,Bell_Bacterial_Spot,Diseased,2199.7,256,256,119.81,59.62
IMG_0226,Corn,Healthy,Healthy,1817.61,256,256,93.93,61.94
IMG_0227,Corn,Healthy,Healthy,1225.23,256,256,120.96,93.22
IMG_0228,Grape,Black_Rot,Diseased,1316.71,256,256,171.17,87.3
IMG_0229,Strawberry,Leaf_Scorch,Diseased,1257.75,256,256,107.53,40.95
IMG_0230,Cherry,Healthy,Healthy,2230.4,256,256,106.57,39.95
IMG_0231,Apple,Black_Rot,Diseased,1535.46,256,256,77.67,13.74
IMG_0232,Peach,Bacterial_Spot,Diseased,2188.85,256,256,158.49,27.59
IMG_0233,Grape,Black_Rot,Diseased,1069.34,256,256,103.45,14.31
IMG_0234,Tomato,Healthy,Healthy,788.55,512,512,152.3,10.52
IMG_0235,Grape,Healthy,Healthy,1415.47,1024,1024,151.59,16.69
IMG_0236,Peach,Healthy,Healthy,1453.04,256,256,150.5,63.43
IMG_0237,Tomato,Early_Blight,Diseased,1262.09,256,256,136.28,23.77
IMG_0238,Corn,Healthy,Healthy,987.48,256,256,147.94,94.63
IMG_0239,Cherry,Powdery_Mildew,Diseased,1835.03,256,256,158.66,63.38
IMG_0240,Pepper,Healthy,Healthy,1174.54,1024,1024,102.4,17.06
IMG_0241,Grape,Black_Rot,Diseased,1494.65,256,256,11.5,78.02
IMG_0242,Apple,Healthy,Healthy,1714.57,256,256,80.88,114.83
IMG_0243,Corn,Common_Rust,Diseased,1582.5,512,512,160.18,20.78
IMG_0244,Potato,Healthy,Healthy,1017.94,256,256,159.37,68.22
IMG_0245,Strawberry,Healthy,Healthy,1978.76,512,512,103.21,81.08
IMG_0246,Grape,Black_Rot,Diseased,1533.23,512,512,135.51,16.66
IMG_0247,Grape,Healthy,Healthy,1229.01,256,256,88.75,11.48
IMG_0248,Grape,Healthy,Healthy,,512,512,115.13,61.41
IMG_0249,Peach,Bacterial_Spot,Diseased,2116.84,256,256,145.77,25.72
IMG_0250,Apple,Black_Rot,Diseased,2302.44,256,256,128.81,210.78
IMG_0251,Corn,Common_Rust,Diseased,1532.63,256,256,124.44,33.21
IMG_0252,Tomato,Healthy,Healthy,,512,512,150.13,19.53
IMG_0253,Pepper,Healthy,Healthy,968.91,256,256,165.42,160.1
IMG_0254,Corn,Common_Rust,Diseased,1493.67,256,256,120.07,54.07
IMG_0255,Pepper,Bell_Bacterial_Spot,Diseased,,512,512,130.68,33.65
IMG_0256,Corn,Healthy,Healthy,1578.92,512,512,116.94,14.2
IMG_0257,Cherry,Powdery_Mildew,Diseased,351.49,512,512,110.13,17.27
IMG_0258,Grape,Healthy,Healthy,1435.64,256,256,83.26,11.85
IMG_0259,Cherry,Powdery_Mildew,Diseased,1854.53,1024,1024,118.35,25.61
IMG_0260,Strawberry,Leaf_Scorch,Diseased,1222.94,512,512,116.74,31.23
IMG_0261,Potato,Late_Blight,Diseased,1432.48,256,256,132.52,116.91
IMG_0262,Corn,Healthy,Healthy,1544.38,512,512,145.07,204.49
IMG_0263,Corn,Common_Rust,Diseased,1164.9,256,256,157.0,20.11
IMG_0264,Tomato,Early_Blight,Diseased,1744.32,512,512,92.2,49.38
IMG_0265,Peach,Bacterial_Spot,Diseased,1303.21,256,256,140.94,22.82
IMG_0266,Potato,Late_Blight,Diseased,941.35,256,256,119.47,15.13
IMG_0267,Apple,Black_Rot,Diseased,1162.95,512,512,104.38,88.99
IMG_0268,Tomato,Healthy,Healthy,1901.22,512,512,149.11,10.91
IMG_0269,Peach,Bacterial_Spot,Diseased,1110.39,256,256,149.56,50.82
IMG_0270,Potato,Late_Blight,Diseased,1683.8,256,256,100.41,90.06
IMG_0271,Cherry,Healthy,Healthy,618.38,256,256,95.01,14.94
IMG_0272,Strawberry,Healthy,Healthy,1085.02,256,256,124.24,123.63
IMG_0273,Potato,Early_Blight,Diseased,2307.94,256,256,123.4,19.25
IMG_0274,Pepper,Bell_Bacterial_Spot,Diseased,767.84,256,256,98.84,95.84
IMG_0275,Corn,Healthy,Healthy,1156.26,1024,1024,97.9,29.51
IMG_0276,Pepper,Healthy,Healthy,,256,256,74.89,47.48
IMG_0277,Strawberry,Healthy,Healthy,1177.85,512,512,142.61,28.87
IMG_0278,Potato,Healthy,Healthy,1738.58,256,256,102.49,115.94
IMG_0279,Corn,Healthy,Healthy,1273.89,256,256,143.41,58.5
IMG_0280,Pepper,Bell_Bacterial_Spot,Diseased,1335.72,512,512,161.59,16.75
IMG_0281,Potato,Early_Blight,Diseased,1130.75,256,256,105.66,30.8
IMG_0282,Strawberry,Leaf_Scorch,Diseased,1701.53,256,256,75.21,62.94
IMG_0283,Grape,Healthy,Healthy,1773.37,256,256,156.16,10.01
IMG_0284,Potato,Early_Blight,Diseased,1262.35,256,256,140.69,198.18
IMG_0285,Grape,Black_Rot,Diseased,1411.26,512,512,150.91,91.71
IMG_0286,Grape,Black_Rot,Diseased,1668.67,1024,1024,122.5,26.53
IMG_0287,Grape,Healthy,Healthy,1347.85,256,256,81.47,26.69
IMG_0288,Corn,Common_Rust,Diseased,1387.19,256,256,135.49,114.88
IMG_0289,Potato,Late_Blight,Diseased,1020.76,1024,1024,135.99,26.79
IMG_0290,Apple,Healthy,Healthy,990.74,1024,1024,134.45,99.0
IMG_0291,Apple,Black_Rot,Diseased,1572.63,256,256,111.28,11.27
IMG_0292,Cherry,Powdery_Mildew,Diseased,2183.66,256,256,133.16,30.84
IMG_0293,Grape,Black_Rot,Diseased,2072.87,256,256,99.88,87.26
IMG_0294,Apple,Rust,Diseased,1391.39,256,256,119.58,25.66
IMG_0295,Pepper,Healthy,Healthy,1542.47,1024,1024,111.37,42.03
IMG_0296,Apple,Rust,Diseased,1312.18,256,256,93.78,10.28
IMG_0297,Tomato,Early_Blight,Diseased,1619.17,256,256,114.8,35.28
IMG_0298,Pepper,Healthy,Healthy,1615.49,256,256,124.32,47.92
IMG_0299,Cherry,Powdery_Mildew,Diseased,1492.58,512,512,112.67,35.09
IMG_0300,Apple,Black_Rot,Diseased,1930.46,512,512,118.17,165.12
IMG_0301,Corn,Healthy,Healthy,7297.13,256,256,122.41,9.06
IMG_0302,Grape,Healthy,Healthy,1714.07,256,256,137.01,35.9
IMG_0303,Apple,Healthy,Healthy,1289.48,256,256,161.0,44.87
IMG_0304,Apple,Rust,Diseased,2102.33,256,256,87.71,77.54
IMG_0305,Pepper,Bell_Bacterial_Spot,Diseased,1042.51,256,256,105.61,53.04
IMG_0306,Corn,Common_Rust,Diseased,1543.42,512,512,,13.49
IMG_0307,Corn,Healthy,Healthy,1381.61,256,256,154.85,22.83
IMG_0308,Apple,Healthy,Healthy,1933.44,512,512,133.12,53.64
IMG_0309,Strawberry,Healthy,Healthy,1913.02,256,256,101.73,120.41
IMG_0310,Tomato,Healthy,Healthy,1950.68,256,256,118.86,30.82
IMG_0311,Tomato,Late_Blight,Diseased,1885.94,256,256,150.16,68.28
IMG_0312,Potato,Late_Blight,Diseased,2146.23,256,256,140.89,15.23
IMG_0313,Pepper,Bell_Bacterial_Spot,Diseased,1060.74,256,256,128.61,125.17
IMG_0314,Corn,Healthy,Healthy,1355.28,256,256,125.39,49.41
IMG_0315,Grape,Black_Rot,Diseased,871.65,256,256,115.64,81.75
IMG_0316,Cherry,Powdery_Mildew,Diseased,1049.29,256,256,149.06,45.41
IMG_0317,Corn,Healthy,Healthy,1568.33,256,256,161.44,94.85
IMG_0318,Grape,Black_Rot,Diseased,2004.08,512,512,116.17,88.64
IMG_0319,Apple,Black_Rot,Diseased,1222.45,512,512,159.1,54.95
IMG_0320,Potato,Healthy,Healthy,1681.99,256,256,90.67,49.85
IMG_0321,Corn,Common_Rust,Diseased,1355.34,256,256,177.15,14.92
IMG_0322,Grape,Healthy,Healthy,2287.16,256,256,116.41,51.36
IMG_0323,Cherry,Powdery_Mildew,Diseased,1796.83,256,256,162.78,39.3
IMG_0324,Grape,Black_Rot,Diseased,1574.97,1024,1024,87.44,38.92
IMG_0325,Tomato,Late_Blight,Diseased,1445.9,256,256,155.89,42.39
IMG_0326,Pepper,Bell_Bacterial_Spot,Diseased,1901.43,512,512,137.44,95.68
IMG_0327,Strawberry,Healthy,Healthy,1584.66,512,512,126.89,14.71
IMG_0328,Cherry,Powdery_Mildew,Diseased,2190.36,512,512,151.32,80.01
IMG_0329,Corn,Healthy,Healthy,1975.57,512,512,97.33,14.04
IMG_0330,Grape,Healthy,Healthy,1783.32,256,256,122.33,53.02
IMG_0331,Potato,Late_Blight,Diseased,1512.08,256,256,111.75,71.39
IMG_0332,Potato,Early_Blight,Diseased,1743.44,512,512,113.46,35.65
IMG_0333,Cherry,Healthy,Healthy,1312.29,256,256,154.43,22.38
IMG_0334,Corn,Common_Rust,Diseased,1220.91,256,256,106.3,44.97
IMG_0335,Grape,Healthy,Healthy,2320.87,256,256,100.31,27.12
IMG_0336,Grape,Black_Rot,Diseased,1827.27,1024,1024,121.24,116.85
IMG_0337,Peach,Healthy,Healthy,1114.28,256,256,88.84,72.77
IMG_0338,Pepper,Healthy,Healthy,1874.35,512,512,123.17,151.05
IMG_0339,Strawberry,Leaf_Scorch,Diseased,1573.96,512,512,163.88,37.44
IMG_0340,Pepper,Healthy,Healthy,1078.81,1024,1024,96.23,51.58
IMG_0341,Strawberry,Healthy,Healthy,1163.04,256,256,112.07,16.94
IMG_0342,Grape,Black_Rot,Diseased,1664.19,1024,1024,115.29,386.78
IMG_0343,Tomato,Late_Blight,Diseased,529.91,512,512,95.53,83.65
